name,id,x,y,confounder_1,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
Alice,ALI,53.1234,-1.5678,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob,BOB,127.8901,45.2345,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie,CHA,-74.0060,40.7128,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana,DIA,17.1234,-33.5678,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Eve,EVE,-122.4194,37.7749,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,FRA,8.6821,50.1109,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace,GRA,-118.2437,34.0522,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,HEN,139.6917,35.6895,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivy,IVY,-0.1278,51.5074,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack,JAC,-43.1729,-22.9068,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Karen,KAR,2.3522,48.8566,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,LIA,151.2093,-33.8688,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Mia,MIA,-3.7038,40.4168,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah,NOA,100.4689,13.7299,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,OLI,-77.0369,38.9072,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter,PET,144.9631,-37.8136,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn,QUI,12.4922,41.9028,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan,RYA,-87.6298,41.8781,M,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophia,SOP,28.9784,41.0082,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,THO,77.5946,12.9716,M,,,,,,,,,,,,,,,,,,,,,,,,,,
